Address,Osiris,,Zeus,,
0x949bed886c739f1a3273629b3320db0c5024c719,Unsafe,,Unsafe,Correct
0xfd39bd49ab3df4eda75a23807dab186d4902f924,Safe,,Unsafe,Correct
0x9053d234a1ff2290f087a1ca9460e3263121e580,Safe,,Safe,Correct
0xad87e48d553c2308dccab428537f6d0809593ba4,Safe,,Unsafe,Correct
0x9ab2b9bd7c70ba12757eadcda5a9626ac247fadf,Safe,,Unsafe,Correct
0x772cba2f87f92e95bb8ffa96187bbedebbb484d3,Safe,,Unsafe,Correct
0x35bd607db942fe1f10ce12b309e3a67e16660fe1,Unsafe,,Unsafe,Correct
0x8a46eeadd53f09ec213cc884f3af0339a86e0086,Safe,,Safe,Correct
0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,Safe,,Safe,Correct
0x1b27996479b11abc8a8d0447deb3fb0183788484,Unsafe,,Unsafe,Correct
0xe2e4d0d3410cd3e81bfcb7dad364dd168bb499f3,Unsafe,,Unsafe,Correct
0x2e1cff135ca6bbc0012a01fa246a0a39aeb10d2d,Unsafe,,Unsafe,Correct
0x9aa7889526708afdfb6c5222e47ed96bfdacb945,Safe,,Unsafe,Correct
0x940e7d8fb34921c3c5bbb8b9792b1a0e4688fe9b,Unsafe,,Unsafe,Correct
0xdd69f2a23d9709c980cbf09c5c952a8b53663812,Unsafe,,Unsafe,Correct
0xcf0c7e3ad3b2c82bddd286a301afaafd185f30ec,Safe,,Unsafe,Correct
0x1afd952269873fe009c7bdff5f07fd91605a7227,Unsafe,,Unsafe,Correct
0x68ed5f7482307dcd325cd92d48b52b0a2e2a7069,Unsafe,,Unsafe,Correct
0x4c465715e56f95cc9623144d1378bdd044dd3e1e,Unsafe,,Unsafe,Correct
0x218e5ea7e104385b0b91097519dfde91f15613c7,Unsafe,,Unsafe,Incorrect
0xa4879ea62bd45aafb90a19edeb1afd7aae19765d,Unsafe,,Unsafe,Correct
0xcf31dd376d15db527375b8c2b24e0ef45bcf71b6,Unsafe,,Unsafe,Correct
0xe7f4f5abba4a0ae18eaa31796876d137e19b93ad,Safe,,Safe,Correct
0xd934ee44c22fe8cf0f43bf66620b3001d9172904,Safe,,Unsafe,Correct
0x3fa36c63b7b8a0d969cdc6ee3bdff2211b8d3ad5,Safe,,Safe,Correct
0x0d40d751ee117de6248c2645f7708b889b97bb5c,Safe,,Unsafe,Correct
0x84e37d39a263866691e285f23df9650487d728f5,Safe,,Safe,Correct
0xa623bca1460bb9207aa8b4ad00faea3f30f0c549,Safe,,Unsafe,Correct
0x30e1a463ecf25dbba2f83cb3e4b10045f888e55b,Safe,,Unsafe,Correct
0x7996d791995b9f9c15eb4c3e899b09a344c54bdb,Unsafe,,Unsafe,Correct
0xc1ce17303ef35c128b499ed091f39008b3a57389,Safe,,Unsafe,Correct
0x5965c4ee0e04ab0aa480527b7c91be8deca47f9c,Unsafe,,Unsafe,Correct
0xe01b770235bc5db653604e5519f048df54490b5f,Unsafe,,Unsafe,Incorrect
0xb02bd126cd5477b2c166f8a31fab75db0c074371,Safe,,Safe,Correct
0x33a8ea1c8c6294c9f65f3dad7ca7f037bd09f951,Unsafe,,Unsafe,Correct
0x80f84866d4872f1ea412ddf10e2ed7af0b8ca8fb,Safe,,Unsafe,Correct
0x4a7fd82c5c173be7d41541b76c43e26553b0f28b,Unsafe,,Unsafe,Correct
0x8b89db5dded802e731bf73f7b5919d77e4c0c55b,Safe,,Safe,Correct
0x6e01ee36b522a824609b7f7dfb5e4aa8fbb48934,Unsafe,,Unsafe,Correct
0xab5c8051b9a1df1aab0149f8b0630848b7ecabf6,Safe,,Safe,Correct
0xecae6888e3ea6a2a8dbf95500a1f74dd27c3b54e,Safe,,Unsafe,Correct
0xdd29e9818ddf08253486006ae0f82efb2f50db2e,Safe,,Safe,Correct
0xf5b86b8a7d3ad269edff19e2f2d0c59b42aefb13,Safe,,Safe,Correct
0x7b9e81ec3591b570aa2c9fbec77f7dda76ac4f6d,Safe,,Safe,Correct
0x9047ef7c3d52956dd0909c1c1e011e986ce60691,Unsafe,,Unsafe,Correct
0xb40d0312bac389ae0a05053020aac80c9237358b,Unsafe,,Timeout_Verifier,
0xfb688899ad346019f053c9b0a0880b3b558d768d,Safe,,Safe,Correct
0xa2a27c3d265803ecb0f50a8efcfd1cfa0fe18764,Unsafe,,Unsafe,Correct
0xdcabd383a7c497069d0804070e4ba70ab6ecdd51,Unsafe,,Unsafe,Correct
